指導書,指導書
明紬,明紬
粤省,粤省
芙蓉,雷芝
送證,領收證
土偶人,土偶人
伽藍,伽藍
擊賞,擊節歎賞
璇璣玉衡,璇璣玉衡
不導體,導體
蜈蚣,土蟲
銀潢,天漢
大使,全權大使
水塘,貯水池
綿布,綿布
佋穆,佋穆
令名,令譽
飜譯機械,飜譯機
南贍部洲,南贍部洲
象鼻魚,細魚
代襲相續,承祖相續
感氣,感祟
保守黨,保守政黨
頹風,頹俗
韓日合邦,韓日倂合
生水鐵,生水鐵
窮髮,不毛地
映畫劇,映畫劇
緊急手術,緊急手術
風災,風災
寺人,宦侍
逆數,反數
甓墻,甓墻
三升冪,三乘
小大禮,小大禮
非法,不法
初虐,草虐
淡靑,淡靑色
鰯魚,鰯魚
風薄,風薄
布置,布置
脈搏,息脈
造物主,造化神
安居,夏行
天閃,天閃
厭世主義,厭世主義
入校式,入校式
腎結核,腎結核
溫簡,溫簡
六穀,六穀
有煙火藥,有煙火藥
敵對視,敵對視
河津,船着場
代赭石,代赭石
屠兒,屠殺者
土着語,固有語
瀝靑炭,瀝靑炭
愛餐式,愛餐式
原書,原典
內裏,九重宮闕
金瘡,金傷
回轉圓柱,回轉圓柱
裁決,決裁
窯業,陶業
勇戰,勇鬪
圓筒圖法,圓柱圖法
斷截線,斷切線
忍冬草,通靈草
呑吐,吐呑
天瓜,烏瓜
暢樂,暢適
衛戍,徭戍
棋風,碁風
好太王,好太王
半宵,半夜
洞神祭,土神祭
羊毛蠟,羊毛蠟
曆年齡,曆年齡
畫仙,畫仙
白沙器,白陶
告別式,告別式
異化作用,異化作用
梨皮紋,梨皮紋
庸夫,凡夫
踰繕那,由旬
派送,發遣
曲茶,曲茶
叫天子,從地鳥
羹墻錄,列朝羹墻錄
出版權,板權
凶器,兇刃
專行,擅行
蒼天,蒼昊
警跡,警迹
聖餐式,聖餐禮
刊木,刊木
輟朝,輟朝
學齡,學齡
大多數,多大數
掃海艇,掃海艇
發通,發通
奇案,妙思
緊關,緊關事
含沙,水努
星河,天潢
君上,人主
絶對映畫,抽象映畫
家運,家運
女僧房,女僧房
意識一般,意識一般
自由國家,社會國家
賞祿,襃祿
慧孛,箒星
鍊習帳,練習帳
十力敎,十力敎
及尺干,及尺干
諷誦,諷誦
遍界,遍界
能聲,能聲
射程距離,射程距離
巫堂,巫堂
腐植土,腐土
斷罪,斷獄
乘轎,乘轎
投宿,投宿
妻子,妻子
斷面,斷面
貧巷,貧巷
自業自縛,自業自縛
城壘,城堡
珍島,珍島
後五,後五百年
島配,島配
翻覆,翻覆
起原,起源
撤還,撤還
句芒,木正
智慧,智慧
寶光釉,寶石釉
上臣,上臣
節日製,節日科增廣
兒名,乳名
原稿料,原稿料
魚類,魚綱
祈穀祭,祈穀大祭
老翁鬚,水楊藤
雨晴,雨晴
請牒狀,請札
討捕官,討捕使
丘塚,萬年幽宅
津岸,江口
山洞,嵌谷
肺病,肺患
蔓荊子,僧法實
客春,客春
支梧,支梧
群有,萬物
證據物,證據品
古樸,古樸
明效,明驗
豕突,猪突
專用權,專用使用權
